,id,name,symbol,num_market_pairs,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,time_stamp
3,1839,BNB,BNB,1475,2017-07-25T00:00:00.000Z,155850743.7359085,155850743.7359085,4,2023-07-04T11:10:00.000Z,245.36945825373516,528932913.47092724,-16.5791,0.06905945,-1.86112062,2.59611163,-20.17227399,-24.52874214,-22.09089335,38241012558.92158,3.1471,38241012558.92,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
4,3408,USD Coin,USDC,13184,2018-10-08T00:00:00.000Z,27650224329.18425,27650224329.18425,5,2023-07-04T11:10:00.000Z,1.000021450067569,3576077820.201974,16.0714,0.00951013,0.0027164,0.0026955,0.00601539,-0.00552551,0.02440883,27650817428.36441,2.2755,27650817428.36,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
5,52,XRP,XRP,971,2013-08-04T00:00:00.000Z,52254289650.0,99988655562.0,6,2023-07-04T11:10:00.000Z,0.48820552866532624,1017316938.7951882,9.7929,0.22851565,0.89404038,1.5744604,-6.95676999,5.80352732,-5.29321286,25510833103.609337,2.0994,48820552866.53,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
6,2010,Cardano,ADA,848,2017-10-01T00:00:00.000Z,34955923793.409,35936967442.34,7,2023-07-04T11:10:00.000Z,0.29582414666179163,231711812.9032917,21.5185,0.18607659,0.43604915,4.34490095,-22.27897012,-23.90261047,-25.50118732,10340806326.959835,0.851,13312086599.78,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
7,74,Dogecoin,DOGE,732,2013-12-15T00:00:00.000Z,140032796383.70526,140032796383.70526,8,2023-07-04T11:10:00.000Z,0.06817732831737064,303168438.9765298,-7.7925,-0.10533123,0.25290518,4.22483626,-6.5438871,-13.34931258,-30.60085777,9547061934.251385,0.7857,9547061934.25,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
8,2,Litecoin,LTC,932,2013-04-28T00:00:00.000Z,73287139.22743528,84000000.0,9,2023-07-04T11:10:00.000Z,107.09227019101566,1033169323.3569044,-21.1321,-0.31932862,-3.05843271,20.5744367,11.14868249,21.64309944,13.20010683,7848486115.671082,0.6459,8995750696.05,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
9,5426,Solana,SOL,476,2020-04-10T00:00:00.000Z,400892412.1607533,551546215.6531088,10,2023-07-04T11:10:00.000Z,19.15552761897276,302159435.7322952,-15.208,-0.34165063,-1.43370748,15.06455838,-11.27118278,-12.69911364,-9.52990487,7679305673.381921,0.632,10565158767.08,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
10,1958,TRON,TRX,774,2017-09-13T00:00:00.000Z,89893952979.92505,89894076946.73865,11,2023-07-04T11:10:00.000Z,0.07825206620268448,156409264.6715215,16.4799,0.31127909,1.01028534,4.61034577,-4.19106973,11.64331739,17.67429028,7034387559.8061,0.5789,7034397260.47,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
11,6636,Polkadot,DOT,520,2020-08-19T00:00:00.000Z,1200977064.1851268,1330455941.4903066,12,2023-07-04T11:10:00.000Z,5.47843119252964,125219893.9310102,-31.1838,0.42862561,0.17594607,7.38400399,2.15209122,-4.93787937,-16.06734738,6579470209.944469,0.5415,7288811330.15,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
12,3890,Polygon,MATIC,754,2019-04-28T00:00:00.000Z,9319469069.28493,10000000000.0,13,2023-07-04T11:10:00.000Z,0.7032662065822101,339417012.6815158,25.2927,-0.16093609,1.96944217,5.91675979,-22.23696027,-28.95357119,-38.87086277,6554067659.716252,0.5394,7032662065.82,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
13,1831,Bitcoin Cash,BCH,713,2017-07-23T00:00:00.000Z,19439331.25,19439331.25,14,2023-07-04T11:10:00.000Z,283.81536176170204,743739417.5065943,-10.4309,-0.23261478,-3.53964488,24.85581157,143.53880175,139.554223,119.94346977,5517180831.12431,0.454,5960122597.0,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
14,3717,Wrapped Bitcoin,WBTC,1275,2019-01-30T00:00:00.000Z,157076.44645054,157076.44645054,15,2023-07-04T11:10:00.000Z,31043.78802504301,147443762.13179243,15.1059,0.05171687,1.23378918,1.63689481,13.96900843,6.5709469,8.70348098,4876247907.337584,0.4013,4876247907.34,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
15,11419,Toncoin,TON,115,2021-08-26T13:40:22.000Z,3431892087.62,5047558528.0,16,2023-07-04T11:10:00.000Z,1.405102856407167,7596359.63383851,-21.5283,-0.16854854,-2.05128249,-3.6503252,-19.12175693,-32.85988299,-39.41127528,4822161375.196017,0.3968,7092338905.58,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
16,4943,Dai,DAI,2415,2019-11-22T00:00:00.000Z,4648846476.598393,4648846476.598393,17,2023-07-04T11:10:00.000Z,0.9997788078664328,183267846.65362918,71.7182,0.01156797,-0.00959418,-0.00107776,-0.01081397,-0.03335628,0.0016647,4647818188.327608,0.3825,4647818188.33,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
17,5805,Avalanche,AVAX,455,2020-07-13T00:00:00.000Z,345645114.23020005,432364564.23020005,18,2023-07-04T11:10:00.000Z,13.2036021921542,149570007.24916857,-9.1025,0.05914378,-0.49801828,-1.0616904,-10.48959292,-22.64795009,-27.54554007,4563760587.957258,0.3756,9506593578.35,2023-07-04T11:10:00.000Z,2023-07-04 11:11:53.163931+00:00
